Species,Size (cm),Age Class,Mean Feeding Bout Duration (seconds),Feeding Bout Frequency (Mean per min),Proportion of Time Feeding,Collector,,,,Average (%),SD
Z cornutus,8,Juvenile,1.3,0.42,0.91,Jake,,Manini,Juvenile percent time feeding,74.84833333,13.27558452
Z cornutus,8.5,Juvenile,3.2,0.714,3.808,Jake,,,,,
Z cornutus,10,Juvenile,7.5,1.14,14.25,Jake,,C spilurus,Juvenile percent time feeding,62.78075,12.18137616
Z cornutus,7,Juvenile,1.3,0.42,0.91,Jake,,,,,
Z cornutus,9.5,Juvenile,6.8,1.42,16.09333333,Jake,,Z cornutus,Juvenile percent time feeding,14.64036667,11.87673049
Z cornutus,9,Juvenile,6.25,1.14,11.875,Jake,,,,,
Z cornutus,6.5,Juvenile,11,0.714,13.09,Emily ,,,,,
Z cornutus,7,Juvenile,12.66,0.86,18.146,Emily ,,,,,
Z cornutus,6.5,Juvenile,25.2,0.714,29.988,Emily ,,,,,
Z cornutus,5.5,Juvenile,22.4,1,37.33333333,Emily ,,,,,
A triostegus,4,Juvenile,28,1.67,77.93333333,Emily ,,,,,
A triostegus,3.5,Juvenile,40.5,1.3,87.75,Emily ,,,,,
A triostegus,4,Juvenile,31.4,1.67,87.39666667,Emily ,,,,,
A triostegus,3,Juvenile,19.6,1.67,54.55333333,Emily ,,,,,
A triostegus,3,Juvenile,28,1.67,77.93333333,Emily ,,,,,
A triostegus,4.5,Juvenile,29.25,1.3,63.375,Emily ,,,,,
A triostegus,3.5,Juvenile,24,1.3,52,Emily ,,,,,
A triostegus,4,Juvenile,38,1.3,82.33333333,Emily ,,,,,
A triostegus,3,Juvenile,38.5,1.3,83.41666667,Emily ,,,,,
A triostegus,5,Juvenile,37.75,1.3,81.79166667,Emily ,,,,,
C spillurus,4,Juvenile,23,1.67,64.01666667,Jake,,,,,
C spillurus,5,Juvenile,19.2,1.67,53.44,Jake,,,,,
C spillurus,5,Juvenile,36.5,1.33,80.90833333,Jake,,,,,
C spillurus,4.5,Juvenile,25.4,1.67,70.69666667,Jake,,,,,
C spillurus,3,Juvenile,24.75,1.33,54.8625,Jake,,,,,
C spillurus,4.5,Juvenile,18.33,2,61.1,Jake,,,,,
C spillurus,3.5,Juvenile,47.33,1,78.88333333,Jake,,,,,
C spillurus,5,Juvenile,30.67,1,51.11666667,Jake,,,,,
C spillurus,4.5,Juvenile,20.67,2,68.9,Jake,,,,,
C spillurus,4.5,Juvenile,26.33,1,43.88333333,Jake,,,,,