Meter mark,T1 Slope,T2 Slope,T3 Slope,T1 Flat,T2 Flat,T3 Flat,T1 Lagoon,T2 Lagoon,T3 Lagoon,,,% coral,% rubble,% sand,% turf,% macro,% CCA,% sponge,Total coverage
0.5,R,R,S,C,C,R,T,R,S,,Slope,44.16666667,14.16666667,13.33333333,15,4.166666667,5.833333333,3.333333333,100
1,R,C,M,S,C,S,R,T,S,,Flat,36.66666667,12.5,40.83333333,9.166666667,0,0.8333333333,0,100
1.5,Sp,C,R,S,C,S,R,S,S,,Lagoon,12.5,30.83333333,40.83333333,10.83333333,2.5,2.5,0,100
2,R,S,S,C,C,S,C,S,S,,,,,,,,,,
2.5,R,T,R,C,C,R,C,R,S,,,,,,,,,,
3,Sp,C,T,R,T,R,R,R,R,,,,,,,,,,
3.5,Sp,C,R,C,R,R,S,S,R,,,,,,,,,,
4,R,T,R,S,S,S,C,S,S,,,,,,,,,,
4.5,C,C,C,S,S,T,S,R,S,,,,,,,,,,
5,C,T,C,S,C,T,S,R,R,,,,,,,,,,
5.5,C,S,S,S,C,T,R,C,S,,,,,,,,,,
6,CCA,C,R,R,R,C,R,C,R,,,,,,,,,,
6.5,C,C,R,S,C,T,C,C,S,,,,,,,,,,
7,C,T,CCA,R,C,C,T,T,S,,,,,,,,,,
7.5,C,C,C,C,C,S,R,R,R,,,,,,,,,,
8,S,C,S,C,C,S,S,R,S,,,,,,,,,,
8.5,C,C,C,S,S,S,R,R,R,,,,,,,,,,
9,C,C,C,S,S,S,R,R,S,,,,,,,,,,
9.5,T,C,S,S,S,S,R,R,S,,,,,,,,,,
10,C,S,R,C,S,T,S,C,S,,,,,,,,,,
10.5,S,T,M,C,R,C,S,C,S,,,,,,,,,,
11,C,C,C,C,C,T,R,C,S,,,,,,,,,,
11.5,C,C,C,C,C,C,CCA,S,S,,,,,,,,,,
12,T,T,T,C,C,T,S,R,S,,,,,,,,,,
12.5,C,C,C,C,T,C,S,T,S,,,,,,,,,,
13,S,CCA,C,C,C,S,T,T,S,,,,,,,,,,
13.5,C,CCA,C,C,S,S,T,R,R,,,,,,,,,,
14,T,Sp,M,S,S,T,T,CCA,R,,,,,,,,,,
14.5,T,M,T,S,C,S,S,M,C,,,,,,,,,,
15,S,C,R,C,S,S,R,CCA,M,,,,,,,,,,
15.5,S,C,C,R,S,S,S,C,C,,,,,,,,,,
16,M,C,S,C,R,S,T,R,R,,,,,,,,,,
16.5,S,C,T,C,R,S,S,C,M,,,,,,,,,,
17,R,CCA,C,C,S,R,S,S,S,,,,,,,,,,
17.5,T,C,C,C,R,S,T,R,S,,,,,,,,,,
18,C,CCA,T,C,S,S,S,S,S,,,,,,,,,,
18.5,S,T,C,C,S,S,R,T,R,,,,,,,,,,
19,C,R,C,CCA,T,S,R,S,S,,,,,,,,,,
19.5,CCA,C,C,S,C,S,S,C,S,,,,,,,,,,
20,T,R,C,C,S,S,S,T,S,,,,,,,,,,